corridor_encoded,event_cause_encoded,vehicle_type_encoded,police_station_encoded,zone_encoded,hour_of_day,day_of_week,month,is_peak_hour,is_weekend,is_night,hour_sin,hour_cos,is_high_priority_corridor,is_non_corridor,has_vehicle_type,has_zone,station_load,y_closure,y_priority,y_duration,id,corridor,event_cause,priority,cause_corridor_key,cause_priority_key,cause_station_key,police_station,zone,is_stale_active
3,6,0,32,10,19,3,3,1,0,0,-0.9659258262890684,0.2588190451025203,1,0,0,0,272,0,1,,FKID000015,Bellary Road 2,others,High,others_Bellary Road 2,others_High,others_Kodigehalli,Kodigehalli,__MISSING__,1
3,6,0,32,10,19,3,3,1,0,0,-0.9659258262890684,0.2588190451025203,1,0,0,0,272,0,1,,FKID000016,Bellary Road 2,others,High,others_Bellary Road 2,others_High,others_Kodigehalli,Kodigehalli,__MISSING__,1
14,6,0,19,10,19,3,3,1,0,0,-0.9659258262890684,0.2588190451025203,1,0,0,0,276,0,1,,FKID000017,ORR North 1,others,High,others_ORR North 1,others_High,others_Hennuru,Hennuru,__MISSING__,1
11,13,0,24,10,19,3,3,1,0,0,-0.9659258262890684,0.2588190451025203,0,1,0,0,178,0,0,293.3450075,FKID000018,Non-corridor,tree_fall,Low,tree_fall_Non-corridor,tree_fall_Low,tree_fall_Jayanagara,Jayanagara,__MISSING__,0
2,14,4,43,10,4,1,1,0,0,1,0.8660254037844386,0.5000000000000001,1,0,1,0,302,0,1,,FKID000019,Bellary Road 1,vehicle_breakdown,High,vehicle_breakdown_Bellary Road 1,vehicle_breakdown_High,vehicle_breakdown_Sadashivanagar,Sadashivanagar,__MISSING__,0
7,14,3,33,10,19,3,3,1,0,0,-0.9659258262890684,0.2588190451025203,1,0,1,0,184,0,1,27.2487523,FKID000020,Hosur Road,vehicle_breakdown,High,vehicle_breakdown_Hosur Road,vehicle_breakdown_High,vehicle_breakdown_Madiwala,Madiwala,__MISSING__,0
11,13,0,24,10,19,3,3,1,0,0,-0.9659258262890684,0.2588190451025203,0,1,0,0,178,1,0,2928.5208131000004,FKID000021,Non-corridor,tree_fall,Low,tree_fall_Non-corridor,tree_fall_Low,tree_fall_Jayanagara,Jayanagara,__MISSING__,0
11,7,0,24,6,22,4,1,0,0,1,-0.5000000000000004,0.8660254037844384,0,1,0,1,178,0,0,,FKID000022,Non-corridor,pot_holes,Low,pot_holes_Non-corridor,pot_holes_Low,pot_holes_Jayanagara,Jayanagara,South Zone 1,0
22,7,0,25,10,8,1,1,1,0,0,0.8660254037844387,-0.4999999999999998,0,1,0,0,127,0,0,,FKID000023,,pot_holes,Low,pot_holes___MISSING__,pot_holes_Low,pot_holes_Jeevanbheemanagar,Jeevanbheemanagar,__MISSING__,1
11,16,0,50,10,19,3,3,1,0,0,-0.9659258262890684,0.2588190451025203,0,1,0,0,181,0,0,,FKID000024,Non-corridor,water_logging,Low,water_logging_Non-corridor,water_logging_Low,water_logging_Whitefield,Whitefield,__MISSING__,1
11,13,0,51,10,6,3,3,0,0,0,1.0,6.123233995736766e-17,0,1,0,0,105,1,0,843.3240253,FKID000025,Non-corridor,tree_fall,Low,tree_fall_Non-corridor,tree_fall_Low,tree_fall_Wilson Garden,Wilson Garden,__MISSING__,0
22,7,0,45,10,8,1,1,1,0,0,0.8660254037844387,-0.4999999999999998,0,1,0,0,93,0,1,,FKID000026,,pot_holes,High,pot_holes___MISSING__,pot_holes_High,pot_holes_Shivajinagar,Shivajinagar,__MISSING__,1
1,14,2,37,10,8,1,1,1,0,0,0.8660254037844387,-0.4999999999999998,0,0,1,0,116,0,1,,FKID000027,Bannerghata Road,vehicle_breakdown,High,vehicle_breakdown_Bannerghata Road,vehicle_breakdown_High,vehicle_breakdown_Mico Layout,Mico Layout,__MISSING__,0
22,7,0,14,10,8,1,1,1,0,0,0.8660254037844387,-0.4999999999999998,0,1,0,0,361,0,0,9.079776783333331,FKID000028,,pot_holes,Low,pot_holes___MISSING__,pot_holes_Low,pot_holes_HAL Old Airport,HAL Old Airport,__MISSING__,0
22,7,0,25,10,8,1,1,1,0,0,0.8660254037844387,-0.4999999999999998,0,1,0,0,127,0,0,,FKID000029,,pot_holes,Low,pot_holes___MISSING__,pot_holes_Low,pot_holes_Jeevanbheemanagar,Jeevanbheemanagar,__MISSING__,1
11,7,0,25,10,8,1,1,1,0,0,0.8660254037844387,-0.4999999999999998,0,1,0,0,127,0,0,,FKID000030,Non-corridor,pot_holes,Low,pot_holes_Non-corridor,pot_holes_Low,pot_holes_Jeevanbheemanagar,Jeevanbheemanagar,__MISSING__,1
1,14,2,37,10,8,1,1,1,0,0,0.8660254037844387,-0.4999999999999998,0,0,1,0,116,1,1,,FKID000031,Bannerghata Road,vehicle_breakdown,High,vehicle_breakdown_Bannerghata Road,vehicle_breakdown_High,vehicle_breakdown_Mico Layout,Mico Layout,__MISSING__,0
1,14,5,22,10,5,1,1,0,0,1,0.9659258262890683,0.25881904510252074,0,0,1,0,124,0,1,,FKID000032,Bannerghata Road,vehicle_breakdown,High,vehicle_breakdown_Bannerghata Road,vehicle_breakdown_High,vehicle_breakdown_J.P. Nagar,J.P. Nagar,__MISSING__,0
11,13,0,24,10,20,3,3,1,0,0,-0.8660254037844386,0.5000000000000001,0,1,0,0,178,0,0,2907.6902057166667,FKID000033,Non-corridor,tree_fall,Low,tree_fall_Non-corridor,tree_fall_Low,tree_fall_Jayanagara,Jayanagara,__MISSING__,0
15,3,0,32,10,5,1,1,0,0,1,0.9659258262890683,0.25881904510252074,1,0,0,0,272,0,1,,FKID000034,ORR North 2,congestion,High,congestion_ORR North 2,congestion_High,congestion_Kodigehalli,Kodigehalli,__MISSING__,0
22,7,0,25,10,8,1,1,1,0,0,0.8660254037844387,-0.4999999999999998,0,1,0,0,127,0,0,,FKID000035,,pot_holes,Low,pot_holes___MISSING__,pot_holes_Low,pot_holes_Jeevanbheemanagar,Jeevanbheemanagar,__MISSING__,1
9,14,2,34,10,20,3,3,1,0,0,-0.8660254037844386,0.5000000000000001,1,0,1,0,142,0,1,,FKID000036,Magadi Road,vehicle_breakdown,High,vehicle_breakdown_Magadi Road,vehicle_breakdown_High,vehicle_breakdown_Magadi Road,Magadi Road,__MISSING__,0
11,2,0,13,10,3,1,1,0,0,1,0.7071067811865476,0.7071067811865476,0,1,0,0,124,0,0,,FKID000037,Non-corridor,accident,Low,accident_Non-corridor,accident_Low,accident_Electronic City,Electronic City,__MISSING__,0
1,14,3,37,10,15,1,1,0,0,0,-0.7071067811865471,-0.7071067811865479,0,0,1,0,116,0,1,,FKID000038,Bannerghata Road,vehicle_breakdown,High,vehicle_breakdown_Bannerghata Road,vehicle_breakdown_High,vehicle_breakdown_Mico Layout,Mico Layout,__MISSING__,0
22,7,0,25,10,8,1,1,1,0,0,0.8660254037844387,-0.4999999999999998,0,1,0,0,127,0,0,,FKID000039,,pot_holes,Low,pot_holes___MISSING__,pot_holes_Low,pot_holes_Jeevanbheemanagar,Jeevanbheemanagar,__MISSING__,1
12,4,0,14,10,11,1,1,0,0,0,0.258819045102521,-0.9659258262890682,1,0,0,0,361,0,1,0.5525333333333333,FKID000040,ORR East 1,construction,High,construction_ORR East 1,construction_High,construction_HAL Old Airport,HAL Old Airport,__MISSING__,0
2,6,0,20,10,20,3,3,1,0,0,-0.8660254037844386,0.5000000000000001,1,0,0,0,185,1,1,106.41915116666668,FKID000041,Bellary Road 1,others,High,others_Bellary Road 1,others_High,others_High ground,High ground,__MISSING__,0
12,14,2,14,10,20,1,1,1,0,0,-0.8660254037844386,0.5000000000000001,1,0,1,0,361,0,1,,FKID000042,ORR East 1,vehicle_breakdown,High,vehicle_breakdown_ORR East 1,vehicle_breakdown_High,vehicle_breakdown_HAL Old Airport,HAL Old Airport,__MISSING__,0
11,14,5,8,10,18,3,3,1,0,0,-1.0,-1.8369701987210297e-16,0,1,1,0,118,0,0,,FKID000043,Non-corridor,vehicle_breakdown,Low,vehicle_breakdown_Non-corridor,vehicle_breakdown_Low,vehicle_breakdown_Chikkabanavara,Chikkabanavara,__MISSING__,0
11,14,2,39,8,6,3,12,0,0,0,1.0,6.123233995736766e-17,0,1,1,1,178,0,0,,FKID000044,Non-corridor,vehicle_breakdown,Low,vehicle_breakdown_Non-corridor,vehicle_breakdown_Low,vehicle_breakdown_Peenya,Peenya,West Zone 1,0
11,4,0,27,10,21,1,1,0,0,0,-0.7071067811865477,0.7071067811865474,0,1,0,0,74,1,0,,FKID000045,Non-corridor,construction,Low,construction_Non-corridor,construction_Low,construction_K.G. Halli,K.G. Halli,__MISSING__,0
19,14,5,53,10,19,1,1,1,0,0,-0.9659258262890684,0.2588190451025203,1,0,1,0,280,0,1,,FKID000046,Tumkur Road,vehicle_breakdown,High,vehicle_breakdown_Tumkur Road,vehicle_breakdown_High,vehicle_breakdown_Yeshwanthpura,Yeshwanthpura,__MISSING__,0
19,6,0,53,10,20,3,3,1,0,0,-0.8660254037844386,0.5000000000000001,1,0,0,0,280,0,1,133.52983253333335,FKID000047,Tumkur Road,others,High,others_Tumkur Road,others_High,others_Yeshwanthpura,Yeshwanthpura,__MISSING__,0
2,13,0,20,10,20,3,3,1,0,0,-0.8660254037844386,0.5000000000000001,1,0,0,0,185,0,1,1829.3005564666664,FKID000048,Bellary Road 1,tree_fall,High,tree_fall_Bellary Road 1,tree_fall_High,tree_fall_High ground,High ground,__MISSING__,0
12,14,2,5,10,21,1,1,0,0,0,-0.7071067811865477,0.7071067811865474,1,0,1,0,98,0,1,55.541728516666666,FKID000049,ORR East 1,vehicle_breakdown,High,vehicle_breakdown_ORR East 1,vehicle_breakdown_High,vehicle_breakdown_Bellandur,Bellandur,__MISSING__,0
8,3,0,25,10,20,1,1,1,0,0,-0.8660254037844386,0.5000000000000001,0,0,0,0,127,0,1,,FKID000050,IRR(Thanisandra road),congestion,High,congestion_IRR(Thanisandra road),congestion_High,congestion_Jeevanbheemanagar,Jeevanbheemanagar,__MISSING__,0
10,14,5,6,10,21,1,1,0,0,0,-0.7071067811865477,0.7071067811865474,1,0,1,0,297,0,1,,FKID000051,Mysore Road,vehicle_breakdown,High,vehicle_breakdown_Mysore Road,vehicle_breakdown_High,vehicle_breakdown_Byatarayanapura,Byatarayanapura,__MISSING__,0
13,4,0,14,10,20,1,1,1,0,0,-0.8660254037844386,0.5000000000000001,1,0,0,0,361,0,1,729.7378,FKID000052,ORR East 2,construction,High,construction_ORR East 2,construction_High,construction_HAL Old Airport,HAL Old Airport,__MISSING__,0
2,14,8,20,10,21,1,1,0,0,0,-0.7071067811865477,0.7071067811865474,1,0,1,0,185,0,1,69.32987603333332,FKID000053,Bellary Road 1,vehicle_breakdown,High,vehicle_breakdown_Bellary Road 1,vehicle_breakdown_High,vehicle_breakdown_High ground,High ground,__MISSING__,0
21,14,10,36,10,20,3,3,1,0,0,-0.8660254037844386,0.5000000000000001,1,0,1,0,80,0,1,,FKID000054,West of Chord Road,vehicle_breakdown,High,vehicle_breakdown_West of Chord Road,vehicle_breakdown_High,vehicle_breakdown_Malleshwaram,Malleshwaram,__MISSING__,0
11,11,0,50,10,21,1,1,0,0,0,-0.7071067811865477,0.7071067811865474,0,1,0,0,181,0,0,61.27697078333333,FKID000055,Non-corridor,road_conditions,Low,road_conditions_Non-corridor,road_conditions_Low,road_conditions_Whitefield,Whitefield,__MISSING__,0
11,14,3,12,10,19,1,1,1,0,0,-0.9659258262890684,0.2588190451025203,0,1,1,0,37,1,0,,FKID000056,Non-corridor,vehicle_breakdown,Low,vehicle_breakdown_Non-corridor,vehicle_breakdown_Low,vehicle_breakdown_Devanahalli Airport,Devanahalli Airport,__MISSING__,0
11,14,8,35,10,22,1,1,0,0,1,-0.5000000000000004,0.8660254037844384,0,1,1,0,120,0,0,36.41233746666667,FKID000057,Non-corridor,vehicle_breakdown,Low,vehicle_breakdown_Non-corridor,vehicle_breakdown_Low,vehicle_breakdown_Mahadevapura,Mahadevapura,__MISSING__,0
2,13,0,20,10,20,3,3,1,0,0,-0.8660254037844386,0.5000000000000001,1,0,0,0,185,0,1,1819.0784875333331,FKID000058,Bellary Road 1,tree_fall,High,tree_fall_Bellary Road 1,tree_fall_High,tree_fall_High ground,High ground,__MISSING__,0
2,13,0,20,10,20,3,3,1,0,0,-0.8660254037844386,0.5000000000000001,1,0,0,0,185,0,1,1823.1111353833328,FKID000059,Bellary Road 1,tree_fall,High,tree_fall_Bellary Road 1,tree_fall_High,tree_fall_High ground,High ground,__MISSING__,0
2,13,0,20,10,20,3,3,1,0,0,-0.8660254037844386,0.5000000000000001,1,0,0,0,185,0,1,1825.6380844833332,FKID000060,Bellary Road 1,tree_fall,High,tree_fall_Bellary Road 1,tree_fall_High,tree_fall_High ground,High ground,__MISSING__,0
12,14,8,14,10,23,1,1,0,0,1,-0.25881904510252157,0.9659258262890681,1,0,1,0,361,0,1,,FKID000061,ORR East 1,vehicle_breakdown,High,vehicle_breakdown_ORR East 1,vehicle_breakdown_High,vehicle_breakdown_HAL Old Airport,HAL Old Airport,__MISSING__,0
11,13,0,36,10,20,3,3,1,0,0,-0.8660254037844386,0.5000000000000001,0,1,0,0,80,1,0,,FKID000062,Non-corridor,tree_fall,Low,tree_fall_Non-corridor,tree_fall_Low,tree_fall_Malleshwaram,Malleshwaram,__MISSING__,0
11,14,2,26,10,23,1,1,0,0,1,-0.25881904510252157,0.9659258262890681,0,1,1,0,134,0,0,83.22766023333334,FKID000063,Non-corridor,vehicle_breakdown,Low,vehicle_breakdown_Non-corridor,vehicle_breakdown_Low,vehicle_breakdown_Jnanabharathi,Jnanabharathi,__MISSING__,0
11,14,2,39,10,21,1,1,0,0,0,-0.7071067811865477,0.7071067811865474,0,1,1,0,178,0,0,,FKID000064,Non-corridor,vehicle_breakdown,Low,vehicle_breakdown_Non-corridor,vehicle_breakdown_Low,vehicle_breakdown_Peenya,Peenya,__MISSING__,0
4,7,0,45,10,21,3,3,0,0,0,-0.7071067811865477,0.7071067811865474,0,0,0,0,93,0,1,,FKID000065,CBD 1,pot_holes,High,pot_holes_CBD 1,pot_holes_High,pot_holes_Shivajinagar,Shivajinagar,__MISSING__,1
11,13,0,22,10,20,3,3,1,0,0,-0.8660254037844386,0.5000000000000001,0,1,0,0,124,0,0,321.23818236666665,FKID000066,Non-corridor,tree_fall,Low,tree_fall_Non-corridor,tree_fall_Low,tree_fall_J.P. Nagar,J.P. Nagar,__MISSING__,0
22,7,0,19,10,1,2,1,0,0,1,0.25881904510252074,0.9659258262890683,0,1,0,0,276,0,1,,FKID000067,,pot_holes,High,pot_holes___MISSING__,pot_holes_High,pot_holes_Hennuru,Hennuru,__MISSING__,1
14,7,0,19,10,1,2,1,0,0,1,0.25881904510252074,0.9659258262890683,1,0,0,0,276,0,1,,FKID000068,ORR North 1,pot_holes,High,pot_holes_ORR North 1,pot_holes_High,pot_holes_Hennuru,Hennuru,__MISSING__,1
21,14,2,49,10,0,2,1,0,0,1,0.0,1.0,1,0,1,0,58,0,1,44.18835605,FKID000069,West of Chord Road,vehicle_breakdown,High,vehicle_breakdown_West of Chord Road,vehicle_breakdown_High,vehicle_breakdown_Vijayanagara,Vijayanagara,__MISSING__,0
21,14,2,49,10,0,2,1,0,0,1,0.0,1.0,1,0,1,0,58,0,1,41.797760616666665,FKID000070,West of Chord Road,vehicle_breakdown,High,vehicle_breakdown_West of Chord Road,vehicle_breakdown_High,vehicle_breakdown_Vijayanagara,Vijayanagara,__MISSING__,0
11,14,1,7,10,1,2,1,0,0,1,0.25881904510252074,0.9659258262890683,0,1,1,0,192,0,0,26.158530816666666,FKID000071,Non-corridor,vehicle_breakdown,Low,vehicle_breakdown_Non-corridor,vehicle_breakdown_Low,vehicle_breakdown_Chamarajpet,Chamarajpet,__MISSING__,0
9,7,0,30,10,23,1,1,0,0,1,-0.25881904510252157,0.9659258262890681,1,0,0,0,224,0,1,,FKID000072,Magadi Road,pot_holes,High,pot_holes_Magadi Road,pot_holes_High,pot_holes_Kamakshipalya,Kamakshipalya,__MISSING__,0
11,6,0,6,10,23,1,1,0,0,1,-0.25881904510252157,0.9659258262890681,0,1,0,0,297,0,0,,FKID000073,Non-corridor,others,Low,others_Non-corridor,others_Low,others_Byatarayanapura,Byatarayanapura,__MISSING__,0
11,14,5,48,10,22,1,1,0,0,1,-0.5000000000000004,0.8660254037844384,0,1,1,0,37,0,0,,FKID000074,Non-corridor,vehicle_breakdown,Low,vehicle_breakdown_Non-corridor,vehicle_breakdown_Low,vehicle_breakdown_V.V.Puram (C.Pet),V.V.Puram (C.Pet),__MISSING__,0
11,14,6,42,10,23,1,1,0,0,1,-0.25881904510252157,0.9659258262890681,0,1,1,0,104,0,0,,FKID000075,Non-corridor,vehicle_breakdown,Low,vehicle_breakdown_Non-corridor,vehicle_breakdown_Low,vehicle_breakdown_Rajajinagar,Rajajinagar,__MISSING__,0
11,7,0,22,10,21,3,3,0,0,0,-0.7071067811865477,0.7071067811865474,0,1,0,0,124,0,0,,FKID000076,Non-corridor,pot_holes,Low,pot_holes_Non-corridor,pot_holes_Low,pot_holes_J.P. Nagar,J.P. Nagar,__MISSING__,0
12,14,2,5,10,23,1,1,0,0,1,-0.25881904510252157,0.9659258262890681,1,0,1,0,98,1,1,,FKID000077,ORR East 1,vehicle_breakdown,High,vehicle_breakdown_ORR East 1,vehicle_breakdown_High,vehicle_breakdown_Bellandur,Bellandur,__MISSING__,0
11,14,3,38,10,19,3,3,1,0,0,-0.9659258262890684,0.2588190451025203,0,1,1,0,219,0,0,,FKID000078,Non-corridor,vehicle_breakdown,Low,vehicle_breakdown_Non-corridor,vehicle_breakdown_Low,vehicle_breakdown_No Police Station,No Police Station,__MISSING__,0
11,14,3,12,10,19,3,3,1,0,0,-0.9659258262890684,0.2588190451025203,0,1,1,0,37,0,0,,FKID000079,Non-corridor,vehicle_breakdown,Low,vehicle_breakdown_Non-corridor,vehicle_breakdown_Low,vehicle_breakdown_Devanahalli Airport,Devanahalli Airport,__MISSING__,0
11,6,0,26,10,21,3,3,0,0,0,-0.7071067811865477,0.7071067811865474,0,1,0,0,134,0,0,15.88912515,FKID000080,Non-corridor,others,Low,others_Non-corridor,others_Low,others_Jnanabharathi,Jnanabharathi,__MISSING__,0
11,13,0,40,10,21,3,3,0,0,0,-0.7071067811865477,0.7071067811865474,0,1,0,0,74,0,0,116.8119772,FKID000081,Non-corridor,tree_fall,Low,tree_fall_Non-corridor,tree_fall_Low,tree_fall_Pulikeshinagar(F.Town),Pulikeshinagar(F.Town),__MISSING__,0
13,4,0,14,10,21,3,3,0,0,0,-0.7071067811865477,0.7071067811865474,1,0,0,0,361,0,1,762.4895166666666,FKID000082,ORR East 2,construction,High,construction_ORR East 2,construction_High,construction_HAL Old Airport,HAL Old Airport,__MISSING__,0
10,6,0,7,10,21,3,3,0,0,0,-0.7071067811865477,0.7071067811865474,1,0,0,0,192,1,1,,FKID000083,Mysore Road,others,High,others_Mysore Road,others_High,others_Chamarajpet,Chamarajpet,__MISSING__,0
11,6,0,6,10,21,3,3,0,0,0,-0.7071067811865477,0.7071067811865474,0,1,0,0,297,0,0,,FKID000084,Non-corridor,others,Low,others_Non-corridor,others_Low,others_Byatarayanapura,Byatarayanapura,__MISSING__,0
11,7,0,0,10,21,3,3,0,0,0,-0.7071067811865477,0.7071067811865474,0,1,0,0,120,0,0,,FKID000085,Non-corridor,pot_holes,Low,pot_holes_Non-corridor,pot_holes_Low,pot_holes_Adugodi,Adugodi,__MISSING__,0
11,14,5,13,10,2,2,1,0,0,1,0.49999999999999994,0.8660254037844387,0,1,1,0,124,0,0,83.47854003333333,FKID000086,Non-corridor,vehicle_breakdown,Low,vehicle_breakdown_Non-corridor,vehicle_breakdown_Low,vehicle_breakdown_Electronic City,Electronic City,__MISSING__,0
10,14,2,1,10,5,2,1,0,0,1,0.9659258262890683,0.25881904510252074,1,0,1,0,171,0,1,52.75157615,FKID000087,Mysore Road,vehicle_breakdown,High,vehicle_breakdown_Mysore Road,vehicle_breakdown_High,vehicle_breakdown_Ashok Nagar,Ashok Nagar,__MISSING__,0
14,14,7,3,10,21,3,3,0,0,0,-0.7071067811865477,0.7071067811865474,1,0,1,0,245,0,1,74.82553706666666,FKID000088,ORR North 1,vehicle_breakdown,High,vehicle_breakdown_ORR North 1,vehicle_breakdown_High,vehicle_breakdown_Banaswadi,Banaswadi,__MISSING__,0
11,14,3,13,10,2,2,1,0,0,1,0.49999999999999994,0.8660254037844387,0,1,1,0,124,0,0,,FKID000089,Non-corridor,vehicle_breakdown,Low,vehicle_breakdown_Non-corridor,vehicle_breakdown_Low,vehicle_breakdown_Electronic City,Electronic City,__MISSING__,0
10,16,0,17,10,3,2,1,0,0,1,0.7071067811865476,0.7071067811865476,1,0,0,0,297,0,1,,FKID000090,Mysore Road,water_logging,High,water_logging_Mysore Road,water_logging_High,water_logging_Halasuru Gate,Halasuru Gate,__MISSING__,0
9,14,5,34,10,1,2,1,0,0,1,0.25881904510252074,0.9659258262890683,1,0,1,0,142,0,1,,FKID000091,Magadi Road,vehicle_breakdown,High,vehicle_breakdown_Magadi Road,vehicle_breakdown_High,vehicle_breakdown_Magadi Road,Magadi Road,__MISSING__,0
10,14,2,17,10,1,2,1,0,0,1,0.25881904510252074,0.9659258262890683,1,0,1,0,297,0,1,,FKID000092,Mysore Road,vehicle_breakdown,High,vehicle_breakdown_Mysore Road,vehicle_breakdown_High,vehicle_breakdown_Halasuru Gate,Halasuru Gate,__MISSING__,0
10,14,3,6,10,4,2,1,0,0,1,0.8660254037844386,0.5000000000000001,1,0,1,0,297,0,1,47.68990556666667,FKID000093,Mysore Road,vehicle_breakdown,High,vehicle_breakdown_Mysore Road,vehicle_breakdown_High,vehicle_breakdown_Byatarayanapura,Byatarayanapura,__MISSING__,0
12,14,2,5,10,3,2,1,0,0,1,0.7071067811865476,0.7071067811865476,1,0,1,0,98,0,1,,FKID000094,ORR East 1,vehicle_breakdown,High,vehicle_breakdown_ORR East 1,vehicle_breakdown_High,vehicle_breakdown_Bellandur,Bellandur,__MISSING__,0
11,13,0,41,10,21,3,3,0,0,0,-0.7071067811865477,0.7071067811865474,0,1,0,0,127,0,0,8.620181266666666,FKID000095,Non-corridor,tree_fall,Low,tree_fall_Non-corridor,tree_fall_Low,tree_fall_R.T. Nagar,R.T. Nagar,__MISSING__,0
11,13,0,36,10,21,3,3,0,0,0,-0.7071067811865477,0.7071067811865474,0,1,0,0,80,1,0,,FKID000096,Non-corridor,tree_fall,Low,tree_fall_Non-corridor,tree_fall_Low,tree_fall_Malleshwaram,Malleshwaram,__MISSING__,1
5,6,0,11,10,21,3,3,0,0,0,-0.7071067811865477,0.7071067811865474,1,0,0,0,212,0,1,,FKID000097,CBD 2,others,High,others_CBD 2,others_High,others_Cubbon Park,Cubbon Park,__MISSING__,1
11,13,0,24,10,21,3,3,0,0,0,-0.7071067811865477,0.7071067811865474,0,1,0,0,178,1,0,,FKID000098,Non-corridor,tree_fall,Low,tree_fall_Non-corridor,tree_fall_Low,tree_fall_Jayanagara,Jayanagara,__MISSING__,1
11,13,0,43,10,21,3,3,0,0,0,-0.7071067811865477,0.7071067811865474,0,1,0,0,302,1,0,,FKID000099,Non-corridor,tree_fall,Low,tree_fall_Non-corridor,tree_fall_Low,tree_fall_Sadashivanagar,Sadashivanagar,__MISSING__,0
