id,event_type,event_cause,latitude,longitude,address,corridor,junction,zone,police_station,priority,requires_road_closure,vehicle_type,start_datetime,end_datetime,closed_datetime,status,is_stale_active,duration_mins,hour_of_day,day_of_week,month,is_high_priority_corridor,is_non_corridor,description,modified_datetime
FKID000123,unplanned,vehicle_breakdown,12.9614398,77.5600867,"BGS Flyover, Mariyamma Layout, JJR Nagar South, Bengaluru, Karnataka. Pin-560018 (India)",Mysore Road,,,Chamarajpet,High,False,lcv,2024-01-31 08:57:24.573000+00:00,,2024-01-31 10:39:45.991392+00:00,closed,False,102.3569732,8,2,1,True,False,heat,2024-01-31 10:39:45.991893+00:00
FKID000136,unplanned,vehicle_breakdown,13.0427379,77.5892891,"Outer Ring Road, Hebbal Junction, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",Bellary Road 1,,,Kodigehalli,High,False,lcv,2024-01-31 20:51:52.146000+00:00,,,closed,False,,20,2,1,True,False,Vehicle side hakidini,2024-01-31 23:35:48.100155+00:00
FKID000152,unplanned,vehicle_breakdown,12.9246541,77.6497438,"Sarjapur Marathahalli Road, Agara Junction, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",ORR East 1,,,HAL Old Airport,High,False,lcv,2024-01-31 22:01:00.508000+00:00,,,closed,False,,22,2,1,True,False,Lgv pickup vehicle Axel ಕಟ್ಟಾಗಿರುತ್ತದೆ ಸಂಚಾರಕ್ಕೆ ಸ್ವಲ್ಪ ದಟ್ಟಣೆ ಇರುತ್ತದೆ ಅರ್ದ ಗಂಟೆಯಲ್ಲಿ ಆಕ್ಸೆಲ್ ತಂದು ಹಾಕುತ್ತೇವೆ ಎಂದು ತಿಳಿಸಿರುತ್ತಾರೆ ಸರ್,2024-02-01 00:35:48.045328+00:00
FKID000170,unplanned,vehicle_breakdown,12.9245044,77.6502426,"Outer Ring Road, Agara Junction, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",ORR East 1,,,HAL Old Airport,High,False,lcv,2024-01-31 22:05:15.601000+00:00,,,closed,False,,22,2,1,True,False,ಅಗರ ಬ್ರಿಡ್ಜ್ ಮೇಲೆ ಟಾಟಾ ಪಿಕಪ್ ವಾಹನ ಎಕ್ಸೆಲ್ ಕಟ್ಟಾಗಿ ನಿಂತಿದ್ದು ಇಬ್ಬೂರು ಕಡೆಗೆ ಸ್ವಲ್ಪ ನಿಧಾನಗತಿ ಸಂಚಾರ ಇರುತ್ತದೆ ಸರ್,2024-02-01 00:35:48.072972+00:00
FKID000175,unplanned,vehicle_breakdown,12.9228317,77.6575101,"Outer Ring Road, SM Industrial Estate, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",ORR East 1,,,Bellandur,High,False,lcv,2024-01-31 23:49:58.354000+00:00,,,closed,False,,23,2,1,True,False,Agar to ibbluru junction cluch problem traffic slow moving sir,2024-02-01 02:35:47.556336+00:00
FKID000176,unplanned,vehicle_breakdown,13.0378641,77.5222897,"Mumbai Bengaluru Highway, Namma Metro Circle, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",Tumkur Road,,,Peenya,High,False,lcv,2024-02-01 01:56:47.544000+00:00,,2024-02-01 03:23:05.299089+00:00,closed,False,86.29591815,1,3,2,True,False,[PERSON],2024-02-01 03:23:05.299599+00:00
FKID000184,unplanned,vehicle_breakdown,13.0145688,77.5835164,"Sir CV Raman Road, Enayathulla Mehkri Circle, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)",Bellary Road 1,,,Sadashivanagar,High,False,lcv,2024-02-01 03:01:29.624000+00:00,,2024-02-01 03:25:08.109558+00:00,closed,False,23.641425966666667,3,3,2,True,False,tyre puncture,2024-02-01 03:25:08.110116+00:00
FKID000185,unplanned,vehicle_breakdown,13.0186759,77.5588615,"1st Main Road, Samvidhana Circle, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",Tumkur Road,,,Yeshwanthpura,High,False,lcv,2024-03-08 04:17:45.450000+00:00,,2024-03-08 04:54:15.690380+00:00,closed,False,36.504006333333336,4,4,3,True,False,10minutes it will be cleared sir,2024-03-08 04:54:15.690887+00:00
FKID000196,unplanned,vehicle_breakdown,13.0488954,77.4970171,"Mumbai Bengaluru Highway, Nagasandra, Bengaluru, Karnataka. Pin-560073 (India)",Non-corridor,,,Chikkabanavara,Low,False,lcv,2024-03-08 05:04:48.027000+00:00,,,closed,False,,5,4,3,False,True,"Peenya flyover near widia upper ramp incoming lgv off road due to wheel jam sir, vehicles one side moving.",2024-03-08 05:39:27.942142+00:00
FKID000204,unplanned,vehicle_breakdown,13.0407502,77.5174141,"Mumbai Bengaluru Highway, Netaji Nagar, T Dasarahalli, Bengaluru, Karnataka. Pin-560057 (India)",Tumkur Road,,,Peenya,High,False,lcv,2024-02-01 02:49:21.491000+00:00,,,closed,False,,2,3,2,True,False,[LOCATION] circle on flyover towards city lgv off road due to starting problem sir traffic one side moving sir,2024-02-01 05:35:47.551517+00:00
FKID000206,unplanned,vehicle_breakdown,12.95983785,77.64811735,"Old Airport Road, RMZ Titanium, Kodihalli, Bengaluru, Karnataka. Pin-560008 (India)",Old Airport Road,,,Jeevanbheemanagar,High,False,lcv,2024-02-01 05:57:58.222000+00:00,,2024-02-01 06:26:20.828469+00:00,closed,False,28.376774483333335,5,3,2,False,False,Vehicle breakdown at old airport road opp [PERSON] hotel,2024-02-01 06:26:20.829109+00:00
FKID000213,unplanned,vehicle_breakdown,12.9988047,77.5839954,"Sankey Road, MD Nanjundaswamy Circle, Rajamahal Guttahalli, Bengaluru, Karnataka. Pin-560003 (India)",Bellary Road 1,,,Sadashivanagar,High,False,lcv,2024-02-01 03:36:55.164000+00:00,,,closed,False,,3,3,2,True,False,PG halli  service road incoming,2024-02-01 06:35:47.752917+00:00
FKID000231,unplanned,vehicle_breakdown,12.9915317,77.7140583,"Whitefield Road, Sumadhura Hive, Hoodi, Bengaluru, Karnataka. Pin-560048 (India)",Non-corridor,,,Mahadevapura,Low,False,lcv,2024-02-01 13:45:42.700000+00:00,,,closed,False,,13,3,2,False,True,[PERSON] tr ps itpl main road,2024-02-01 17:58:43.221023+00:00
FKID000245,unplanned,vehicle_breakdown,12.9643404,77.5855854,"Sri Narsimha Rao Road, Town Hall Junction, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",Mysore Road,,,Halasuru Gate,High,False,lcv,2024-02-01 21:00:35.479000+00:00,,2024-02-01 21:58:06.233463+00:00,closed,False,57.51257438333334,21,3,2,True,False,LGV ವಾಹನವು ಬ್ರೇಕ್ ಡೌನ್ ಆಗಿದ್ದು ಸೂಲ್ಪ ಸಮಯದಲ್ಲಿ ಸರಿ ಮಾಡಿಕೊಂಡು ಹೋಗುತ್ತೇವೆ ಎಂದು ತಿಳಿಸಿರುತ್ತಾರೆ ಸರ್,2024-02-01 21:58:06.234046+00:00
FKID000267,unplanned,vehicle_breakdown,12.96652735,77.60810502,"Richmond Road, Mother Teresa Circle, Nilsandra, Bengaluru, Karnataka. Pin-560025 (India)",Mysore Road,,,Ashok Nagar,High,False,lcv,2024-03-08 08:45:13.150000+00:00,,2024-03-08 09:51:21.314291+00:00,closed,False,66.13607151666666,8,4,3,True,False,,2024-03-08 09:51:21.315010+00:00
FKID000272,unplanned,vehicle_breakdown,12.9340271,77.6892659,"Outer Ring Road, Prestige Silver Crest, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",ORR East 1,,,HAL Old Airport,High,False,lcv,2024-02-02 06:49:06.500000+00:00,,,closed,False,,6,4,2,True,False,1 LGV vehicle break Down near wells fargo front [PERSON],2024-02-02 09:35:47.619940+00:00
FKID000274,unplanned,vehicle_breakdown,12.9163498,77.6122067,"20th Main Road, BTM Layout Stage 1, Bengaluru, Karnataka. Pin-560068 (India)",Non-corridor,,,Mico Layout,Low,False,lcv,2024-02-02 06:51:47.563000+00:00,,2024-02-02 08:08:51.696766+00:00,closed,False,77.0688961,6,4,2,False,True,Slow traffic movement from 29th main road towards 16th main of [PERSON].,2024-02-02 08:08:51.697275+00:00
FKID000275,unplanned,vehicle_breakdown,12.9948294,77.6040054,"Millers Road, Cantt Railway Quarters, Benson Town, Bengaluru, Karnataka. Pin-560046 (India)",Non-corridor,,,R.T. Nagar,Low,False,lcv,2024-02-02 05:36:40.214000+00:00,,,closed,False,,5,4,2,False,True,2 vehicles off-road due to Clutch problem. Another Vehicle [VEHICLE],2024-02-02 08:35:48.063048+00:00
FKID000282,unplanned,vehicle_breakdown,12.9976941,77.584432,"Sankey Road, RV Layout, Seshadripuram, Bengaluru, Karnataka. Pin-560020 (India)",Bellary Road 1,,,High ground,High,False,lcv,2024-03-08 07:48:44.654000+00:00,,,closed,False,,7,4,3,True,False,ph no:[PHONE]  my number.,2024-03-08 10:35:48.520904+00:00
FKID000305,unplanned,vehicle_breakdown,13.010814,77.5836806,"Sri Ramana Maharshi Road, Achaiah Chetty Layout, RMV Extension, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)",Bellary Road 1,,,Sadashivanagar,High,False,lcv,2024-02-02 18:23:44.450000+00:00,,,closed,False,,18,4,2,True,False,Vehicle breakdown,2024-02-02 20:35:47.776546+00:00
FKID000307,unplanned,vehicle_breakdown,13.0765895,77.5923254,"Bellary Road, Century Horizon, Yashoda Nagar, Yelahanka, Bengaluru, Karnataka. Pin-560065 (India)",Bellary Road 2,,,Yelahanka,High,False,lcv,2024-02-02 18:55:01.248000+00:00,,,closed,False,,18,4,2,True,False,Jakkuru aero dram to wards jakkuru single lgv tempo starting problem sir,2024-02-02 21:35:47.898358+00:00
FKID000311,unplanned,vehicle_breakdown,13.055969,77.4760833,"Mumbai Bengaluru Highway, Anchepalya, Bengaluru, Karnataka. Pin-560073 (India)",Non-corridor,,,No Police Station,Low,False,lcv,2024-03-08 19:08:40.037000+00:00,,,closed,False,,19,4,3,False,True,vehicle breakdown due to diesel empty towards [LOCATION] main track biec flyover upper Ramp traffic normal moving sir,2024-03-08 21:35:48.408928+00:00
FKID000313,unplanned,vehicle_breakdown,13.0200506,77.7094059,"MBT Road, Sri Ram Layout, Battarahalli, KR Puram, Bengaluru, Karnataka. Pin-560049 (India)",Non-corridor,,,K.R. Pura,Low,False,lcv,2024-02-02 21:52:18.741000+00:00,,2024-02-02 22:27:35.660943+00:00,closed,False,35.281999049999996,21,4,2,False,True,ಭಟ್ಟರಹಳ್ಳಿ ಜಂಕ್ಷನ್ ನಿಂದ ಮೇಡಳ್ಳಿ ಜಂಕ್ಷನ್ ಹೋಗುವ ಕಡೆ ವೆಹಿಕಲ್ ಬ್ರೇಕ್ ಡೌನ್ ಆಗಿ ನಿಂತಿದೆ ಸಾರ್,2024-02-02 22:27:35.661515+00:00
FKID000326,unplanned,vehicle_breakdown,12.981767,77.5601309,"80 Feet Ring Road, Block 4M, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",Non-corridor,,,Magadi Road,Low,False,lcv,2024-02-02 21:47:04.982000+00:00,,,closed,False,,21,4,2,False,True,,2024-02-03 00:35:48.003297+00:00
FKID000336,unplanned,vehicle_breakdown,12.8878816,77.6407286,"Electronics City Flyover, Industrial Layout, Begur, Bengaluru, Karnataka. Pin-560068 (India)",Hosur Road,,,Electronic City,High,False,lcv,2024-02-03 06:03:55.432000+00:00,,2024-02-03 06:35:26.666382+00:00,closed,False,31.520573033333335,6,5,2,True,False,Lgv vehical offroad on ec Fly over towards [LOCATION] near [LOCATION] sir,2024-02-03 06:35:26.666860+00:00
FKID000358,unplanned,vehicle_breakdown,13.03895,77.5895433,"Bellary Road, IAH and VB Quarters, UAS Campus, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",Bellary Road 1,,,Kodigehalli,High,False,lcv,2024-02-03 09:11:19.744000+00:00,,2024-02-03 09:22:11.329264+00:00,closed,False,10.859754400000002,9,5,2,True,False,Starting problem,2024-02-03 09:22:11.329833+00:00
FKID000364,unplanned,vehicle_breakdown,13.0686851,77.4480875,"Mumbai Bengaluru Highway, Rajadhani Layout, Adakamaranahalli, Bengaluru, Karnataka. Pin-562162 (India)",Non-corridor,,,No Police Station,Low,False,lcv,2024-03-08 23:44:09.867000+00:00,,,closed,False,,23,4,3,False,True,due to starting problem sir,2024-03-09 02:35:48.109536+00:00
FKID000365,unplanned,vehicle_breakdown,12.9834372,77.5910288,"Cubbon Road, Ali Askar Road Junction, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",Bellary Road 1,,,Cubbon Park,High,False,lcv,2024-03-08 19:40:48.818000+00:00,,,closed,False,,19,4,3,True,False,,2024-03-08 22:35:48.356816+00:00
FKID000384,unplanned,vehicle_breakdown,13.0332299,77.5882243,"Bellary Road, Vinayaka Nagar, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",Bellary Road 1,,,Kodigehalli,High,False,lcv,2024-02-03 23:13:38.216000+00:00,,2024-02-04 00:46:18.461602+00:00,closed,False,92.67076003333334,23,5,2,True,False,[PERSON] broken,2024-02-04 00:46:18.462182+00:00
FKID000399,unplanned,vehicle_breakdown,12.99601,77.75823,"Kadugodi Railway Bridge, MJR Pearl, Kadugodi, Bengaluru, Karnataka. Pin-560067 (India)",Non-corridor,,,Mahadevapura,Low,False,lcv,2024-03-09 01:53:07.107000+00:00,,2024-03-09 02:04:18.826207+00:00,closed,False,11.195320116666666,1,5,3,False,True,slow moving traffic towards Belathur junction,2024-03-09 02:04:18.826882+00:00
FKID000400,unplanned,vehicle_breakdown,13.0428518,77.5510758,"3rd Main Road, Bahubali Nagar, Jalahalli, Bengaluru, Karnataka. Pin-560013 (India)",ORR North 2,,,Jalahalli,High,False,lcv,2024-02-04 01:28:46.079000+00:00,,,closed,False,,1,6,2,True,False,Traffic one side moment sir,2024-02-04 03:35:47.852260+00:00
FKID000401,unplanned,vehicle_breakdown,13.035473,77.5890568,"Bellary Road, Vinayaka Nagar, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",Bellary Road 1,,,Hebbala,High,False,lcv,2024-02-04 01:24:26.149000+00:00,,,closed,False,,1,6,2,True,False,Wheel broken,2024-02-04 03:35:47.866371+00:00
FKID000406,unplanned,vehicle_breakdown,13.0375682,77.6270117,"MBT Road, Block 5 Stage 1, HBR Layout, Bengaluru, Karnataka. Pin-560043 (India)",ORR North 1,,,Hennuru,High,False,lcv,2024-02-04 02:00:19.501000+00:00,,,closed,False,,2,6,2,True,False,Tair fanchar,2024-02-04 04:35:47.706454+00:00
FKID000414,unplanned,vehicle_breakdown,12.9287199,77.5454335,"Dr Rajkumar Puniya Bhoomi Road, Banashankari, Bengaluru, Karnataka. Pin-560085 (India)",ORR West 1,,,Banashankari,High,False,lcv,2024-02-04 05:55:44.340000+00:00,,,closed,False,,5,6,2,True,False,Starting prablem sir,2024-02-04 08:35:48.004827+00:00
FKID000417,unplanned,vehicle_breakdown,12.9592991,77.6545459,"Old Airport Road, Thimma Reddy Layout, Murugeshpalya, Bengaluru, Karnataka. Pin-560017 (India)",Old Airport Road,,,Jeevanbheemanagar,High,False,lcv,2024-02-04 06:04:14.562000+00:00,,2024-02-04 06:45:04.059675+00:00,closed,False,40.82496125,6,6,2,False,False,"Starting problem, Isro junction towards [PERSON]",2024-02-04 06:45:04.060172+00:00
FKID000420,unplanned,vehicle_breakdown,12.9675759,77.6063726,"Museum Road, Shoolay Circle, Nilsandra, Bengaluru, Karnataka. Pin-560025 (India)",Mysore Road,,,Ashok Nagar,High,False,lcv,2024-03-09 05:14:41.106000+00:00,,2024-03-09 05:54:36.997942+00:00,closed,False,39.93153236666667,5,5,3,True,False,LGV vehicle off road Due to Tyre blast Near Old Ps junction,2024-03-09 05:54:36.998654+00:00
FKID000447,unplanned,vehicle_breakdown,13.0440133,77.55428,"Outer Ring Road, Sharadamba Nagar, Muthyala Nagar, Bengaluru, Karnataka. Pin-560054 (India)",ORR North 2,,,Jalahalli,High,False,lcv,2024-02-04 18:42:24.471000+00:00,,,closed,False,,18,6,2,True,False,,2024-02-04 21:35:47.715030+00:00
FKID000520,unplanned,vehicle_breakdown,13.030281,77.585662,"Bellary Road, UAS Campus, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",Bellary Road 1,,,Kodigehalli,High,False,lcv,2024-02-05 22:08:54.832000+00:00,,2024-02-05 23:59:34.230119+00:00,closed,False,110.65663531666668,22,0,2,True,False,Vehicle offload due to bolt cut at veterinary college towards city,2024-02-05 23:59:34.230672+00:00
FKID000536,unplanned,vehicle_breakdown,12.9873542,77.5126242,"1st E Main Road, Srigandakavulu Junction, Kamakshipalya, Bengaluru, Karnataka. Pin-560091 (India)",Magadi Road,,,Kamakshipalya,High,False,lcv,2024-02-05 23:45:54.895000+00:00,,,closed,False,,23,0,2,True,False,,2024-02-06 02:35:47.487040+00:00
FKID000544,unplanned,vehicle_breakdown,13.0019858,77.5838626,"Sankey Road, Rajamahal Guttahalli, Bengaluru, Karnataka. Pin-560003 (India)",Bellary Road 1,,,Sadashivanagar,High,False,lcv,2024-03-09 19:27:13.135000+00:00,,2024-03-09 20:41:17.956821+00:00,closed,False,74.08036368333335,19,5,3,True,False,Starting problem sir,2024-03-09 20:41:17.957343+00:00
FKID000546,unplanned,vehicle_breakdown,12.9653882,77.7018161,"Outer Ring Road, Anantha Ram Reddy Layout, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",ORR East 2,,,HAL Old Airport,High,False,lcv,2024-02-05 21:47:50.378000+00:00,,,closed,False,,21,0,2,True,False,due to Joint cut,2024-02-06 00:35:47.978126+00:00
FKID000549,unplanned,vehicle_breakdown,13.0361195,77.5895123,"5th A Main Road, Vinayaka Nagar, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",Bellary Road 1,,,Hebbala,High,False,lcv,2024-02-05 22:42:43.961000+00:00,,,closed,False,,22,0,2,True,False,break down,2024-02-06 01:35:47.802930+00:00
FKID000562,unplanned,vehicle_breakdown,13.0429355,77.5866438,"Outer Ring Road, Hebbal Junction, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",ORR North 2,,,Kodigehalli,High,False,lcv,2024-02-06 01:46:16.534000+00:00,,,closed,False,,1,1,2,True,False,Vehicle breakdown at  [LOCATION] sir towards hebbal circle,2024-02-06 04:35:47.949243+00:00
FKID000568,unplanned,vehicle_breakdown,13.0468824,77.5756714,"Gundappa Road, Nagashetty Halli, RMV Stage 2, Bengaluru, Karnataka. Pin-560094 (India)",ORR North 2,,,Kodigehalli,High,False,lcv,2024-03-10 00:15:37.663000+00:00,,2024-03-10 01:04:57.696014+00:00,closed,False,49.33388356666667,0,6,3,True,False,ಭದ್ರಪ್ಪ towards nagashettihalli,2024-03-10 01:04:57.696802+00:00
FKID000625,unplanned,vehicle_breakdown,12.9839379,77.5977188,"Venkataswamy Naidu Road, SG Balekundry Circle, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",CBD 2,,,Shivajinagar,High,True,lcv,2024-02-07 07:37:23.513000+00:00,,,closed,False,,7,2,2,True,False,God upload right side sir traffic not problem sir,2024-02-07 10:35:47.811001+00:00
FKID000654,unplanned,vehicle_breakdown,13.0391136,77.542641,"Outer Ring Road, CQAE Staff Quarters, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",ORR North 2,,,Jalahalli,High,False,lcv,2024-02-07 23:10:34.953000+00:00,,,closed,False,,23,2,2,True,False,Starting problem near [LOCATION] towards [LOCATION] circle traffic one side moving sir,2024-02-08 01:35:48.007784+00:00
FKID000658,unplanned,vehicle_breakdown,12.9667804,77.5874869,"NH 275, Halsuru Gate Police Station Junction, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",Mysore Road,,,Halasuru Gate,High,False,lcv,2024-02-07 23:13:12.801000+00:00,,2024-02-07 23:17:13.766967+00:00,closed,False,4.0160994500000005,23,2,2,True,False,[LOCATION] ಕ್ಕೆ ತೊಂದ್ರೆ ಆಗತಾ ಇದೆ...,2024-02-07 23:17:13.767539+00:00
FKID000668,unplanned,vehicle_breakdown,12.9427928,77.5974063,"Hosur Road, Lakkasandra, Bengaluru, Karnataka. Pin-560030 (India)",Non-corridor,,,Wilson Garden,Low,False,lcv,2024-03-10 06:59:26.933000+00:00,,2024-03-10 07:41:26.271181+00:00,closed,False,41.98896968333334,6,6,3,False,True,,2024-03-10 07:41:26.271762+00:00
FKID000677,unplanned,vehicle_breakdown,13.0287687,77.5376981,"1st Main Road, Godrej Tiara, Yeshwanthpur Suburb Stage 2, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",Tumkur Road,,,Yeshwanthpura,High,False,lcv,2024-03-10 05:56:53.189000+00:00,,,closed,False,,5,6,3,True,False,vehicle uploaded in CMT outgoing clech problem vehicle side nalli ide sir,2024-03-10 08:35:48.242072+00:00
FKID000678,unplanned,vehicle_breakdown,13.016855,77.7037633,"MBT Road, Jai Bhuvaneshwari Layout, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)",Non-corridor,,,K.R. Pura,Low,False,lcv,2024-03-10 06:20:28.459000+00:00,,,closed,False,,6,6,3,False,True,punchare only half an hour ready sir traffic normal moving sir,2024-03-10 08:35:48.260216+00:00
FKID000681,unplanned,vehicle_breakdown,13.0292386,77.5365365,"Dr Rajkumar Puniya Bhoomi Road, Godrej Tiara, Yeshwanthpur Suburb Stage 2, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",Tumkur Road,,,Yeshwanthpura,High,False,lcv,2024-02-08 04:24:44.508000+00:00,,2024-02-08 04:32:06.787810+00:00,closed,False,7.371330166666667,4,3,2,True,False,One side traffic movement,2024-02-08 04:32:06.788391+00:00
FKID000684,unplanned,vehicle_breakdown,12.9558203,77.7157905,"HAL Airport Road, Smartworks, Green Garden Layout, Munnekolala, Bengaluru, Karnataka. Pin-560037 (India)",Varthur Road,,,Whitefield,High,False,lcv,2024-02-08 04:22:14.183000+00:00,,2024-02-08 05:21:31.586755+00:00,closed,False,59.29006258333333,4,3,2,False,False,Engine problem 30 minutes to repair,2024-02-08 05:21:31.587465+00:00
FKID000687,unplanned,vehicle_breakdown,12.9843071,77.5541767,"12th Main Road, Bhashyam Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",Non-corridor,,,Magadi Road,Low,False,lcv,2024-02-08 01:45:16.927000+00:00,,,closed,False,,1,3,2,False,True,LGV off road,2024-02-08 04:35:47.785825+00:00
FKID000688,unplanned,vehicle_breakdown,12.9843207,77.5542729,"Old Mysore Road, Bhashyam Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",Non-corridor,,,Magadi Road,Low,False,lcv,2024-02-08 01:47:08.089000+00:00,,,closed,False,,1,3,2,False,True,LGV off road,2024-02-08 04:35:47.800315+00:00
